original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
Bedazzled,2001-11-09,"Comedy, Fantasy",93,"USA, Germany",English,Harold Ramis,"Peter Cook, Peter Cook","Brendan Fraser, Elizabeth Hurley, Frances O'Connor, Miriam Shor, Orlando Jones, Paul Adelstein, Toby Huss, Gabriel Casseus, Brian Doyle-Murray, Jeff Doucette, Aaron Lustig, Rudolf Martin, Julian Firth, Iain Rogerson, Biddy Hodson","Hopeless dweeb Elliot Richards is granted seven wishes by the Devil to snare Allison, the girl of his dreams, in exchange for his soul.",6,95303,48000000,90383208,268,42383208
The Others,2001-09-14,"Horror, Mystery, Thriller",101,"Spain, USA, France, Italy, UK",English,Alejandro Amenábar,Alejandro Amenábar,"Nicole Kidman, Fionnula Flanagan, Christopher Eccleston, Alakina Mann, James Bentley, Eric Sykes, Elaine Cassidy, Renée Asherson, Gordon Reid, Keith Allen, Michelle Fairley, Alexander Vince, Ricardo López, Aldo Grilo",A woman who lives in her darkened old family house with her two photosensitive children becomes convinced that the home is haunted.,7.6,330588,17000000,209947037,1155,192947037
Sweet November,2001-04-20,"Drama, Romance",119,USA,English,Pat O'Connor,"Herman Raucher, Paul Yurick","Keanu Reeves, Charlize Theron, Jason Isaacs, Greg Germann, Liam Aiken, Robert Joy, Lauren Graham, Michael Rosenbaum, Frank Langella, Jason Kravits, Ray Baker, Tom Bullock, Adele Proom, L. Peter Callender, June Carryl","A workaholic executive, and an unconventional woman agree to a personal relationship for a short period. In this short period she changes his life.",6.7,84353,40000000,65754228,291,25754228
Crocodile Dundee in Los Angeles,2001-08-17,"Action, Adventure, Comedy",92,"Australia, USA",English,Simon Wincer,"Paul Hogan, Matt Berry","Paul Hogan, Linda Kozlowski, Jere Burns, Jonathan Banks, Alec Wilson, Gerry Skilton, Steve Rackman, Serge Cockburn, Aida Turturro, Paul Rodriguez, Kaitlin Hopkins, David Clendenning, Duke Bannister, Betty Bobbitt, Karen Crone","Australian Outback adventurer Mick ""Crocodile"" Dundee travels to Los Angeles with his young son while his longtime companion suspects foul play at a movie studio.",4.8,23190,21150000,39438674,125,18288674
Down to Earth,2001-02-16,"Comedy, Fantasy",87,"Germany, Canada, Australia, USA",English,"Chris Weitz, Paul Weitz","Elaine May, Warren Beatty","Chris Rock, Regina King, Chazz Palminteri, Eugene Levy, Frankie Faison, Mark Addy, Greg Germann, Jennifer Coolidge, Wanda Sykes, John Cho, Mario Joyner, Bryetta Calloway, Martha Chaves, Brian Rhodes, Herb Lovelle","After dying before his time, an aspiring black comic gets a second shot at life - by being placed in the body of a wealthy white businessman.",5.5,21389,49000000,71186502,123,22186502
The Fast and the Furious,2001-09-21,"Action, Crime, Thriller",106,"USA, Germany",English,Rob Cohen,"Ken Li, Gary Scott Thompson","Paul Walker, Vin Diesel, Michelle Rodriguez, Jordana Brewster, Rick Yune, Chad Lindberg, Johnny Strong, Matt Schulze, Ted Levine, Ja Rule, Vyto Ruginis, Thom Barry, Stanton Rutledge, Noel Gugliemi, R.J. de Vera",Los Angeles police officer Brian O'Conner must decide where his loyalty really lies when he becomes enamored with the street racing world he has been sent undercover to destroy.,6.8,341160,38000000,214474595,1067,176474595
3000 Miles to Graceland,2002-02-15,"Action, Comedy, Crime",125,USA,English,Demian Lichtenstein,"Richard Recco, Demian Lichtenstein","Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater, Kevin Pollak, David Arquette, Jon Lovitz, Howie Long, Thomas Haden Church, Bokeem Woodbine, Ice-T, David Kaye, Louis Lombardi, Shawn Michael Howard, Michael Kopsa",A gang of ex-cons rob a casino during Elvis convention week.,6,43235,62000000,18720175,408,-43279825
Collateral Damage,2002-02-22,"Action, Drama, Thriller",108,"USA, Mexico",English,Andrew Davis,"Ronald Roose, David Griffiths","Arnold Schwarzenegger, Francesca Neri, Elias Koteas, Cliff Curtis, John Leguizamo, John Turturro, Jsu Garcia, Tyler Posey, Michael Milhoan, Rick Worthy, Raymond Cruz, Lindsay Frost, Ethan Dampf, Jorge Zepeda, Miguel Sandoval","After his family is killed by a terrorist act, a firefighter goes in search of the one responsible.",5.5,71131,85000000,78382433,329,-6617567
The Matrix Reloaded,2003-05-23,"Action, Sci-Fi",138,USA,English,"Lana Wachowski, Lilly Wachowski","Lilly Wachowski, Lana Wachowski","Ray Anthony, Christine Anu, Andy Arness, Alima Ashton-Sheibu, Helmut Bakaitis, Steve Bastoni, Don Battee, Monica Bellucci, Daniel Bernhardt, Valerie Berry, Ian Bliss, Liliana Bogatko, Michael Budd, Stoney Burke, Kelly Butler","Neo and his allies race against time before the machines discover the city of Zion and destroy it. While seeking the truth about the Matrix, Neo must save Trinity from a dark fate within his dreams.",7.2,506036,150000000,741847890,2788,591847890
Novocaine,2001-11-23,"Comedy, Crime, Drama",95,USA,English,David Atkins,"Paul Felopulos, David Atkins","Chelcie Ross, Steve Martin, Laura Dern, Lynne Thigpen, Polly Noonan, Helena Bonham Carter, JoBe Cerny, Elias Koteas, Yasen Peyankov, Scott Caan, Teri Cotruzzola, Lucina Paquet, Preston Maybank, Sally Kao, Quincy Wong",A dentist finds himself a murder suspect after a sexy patient seduces him & steals all of the drugs from his practice.,5.8,10580,8000000,2534372,102,-5465628
