original_title,date_published,genre,duration,country,language_1,director,writer,actors,description,avg_vote,votes,budget,worlwide_gross_income,reviews_from_users,profit
The Boat That Rocked,2009-06-12,"Comedy, Drama, Music",135,"UK, France, Germany",English,Richard Curtis,Richard Curtis,"Michael Hadley, Charlie Rowe, Lucy Fleming, Philip Seymour Hoffman, Tom Sturridge, Ian Mercer, Bill Nighy, Will Adamsdale, Tom Brooke, Rhys Darby, Nick Frost, Katherine Parkinson, Chris O'Dowd, Ike Hamilton, Stephen Moore","A band of rogue DJs that captivated Britain, playing the music that defined a generation and standing up to a government that wanted classical music, and nothing else, on the airwaves.",7.4,106167,50000000,36348784,241,-13651216
Jennifer's Body,2009-11-06,"Comedy, Horror",102,"USA, Canada",English,Karyn Kusama,Diablo Cody,"Megan Fox, Amanda Seyfried, Johnny Simmons, Adam Brody, Sal Cortez, Ryan Levine, Juan Riedinger, Colin Askey, Chris Pratt, Juno Rinaldi, Kyle Gallner, Josh Emerson, J.K. Simmons, Amy Sedaris, Cynthia Stevenson",A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,5.2,112913,16000000,31556061,336,15556061
The Factory,2013-06-01,"Crime, Mystery, Thriller",104,"France, Canada, USA",English,Morgan O'Neill,"Morgan O'Neill, Paul Leyden","John Cusack, Jennifer Carpenter, Dallas Roberts, Mae Whitman, Sonya Walger, Mageina Tovah, Katherine Waterston, Gary Anthony Williams, Michael Trevino, Cindy Sampson, Vincent Messina, Lita Tresierra, Andrew Johnson, Ksenia Solo, Charles Papasoff","An obsessed cop is on the trail of a serial killer prowling the streets of Buffalo, N.Y. but when his teenage daughter disappears, he drops any professional restraint to get the killer.",5.8,10430,25000000,30640,68,-24969360
Lay the Favorite,2013-06-13,"Comedy, Drama, Romance",94,"USA, UK, France",English,Stephen Frears,"D.V. DeVincentis, Beth Raymer","Rebecca Hall, Joel Murray, Hugo Armstrong, Corbin Bernsen, Earl Maddox, Rio Hackford, Jo Newman, Laura Prepon, Bruce Willis, Frank Grillo, Wayne Pére, Adam Kozlowski, Al Brown, Thom Sesma, Rusty Meyers","Ex-private dancer Beth aspires to be a Las Vegas cocktail waitress, when she falls in with Dink, a sports gambler. Sparks fly as she proves to be something of a gambling prodigy--much to the ire of Dink's wife, Tulip.",4.8,10995,26350000,1577272,45,-24772728
Män som hatar kvinnor,2009-05-29,"Crime, Drama, Mystery",152,"Sweden, Denmark, Germany, Norway",Swedish,Niels Arden Oplev,"Nikolaj Arcel, Rasmus Heisterberg","Michael Nyqvist, Noomi Rapace, Lena Endre, Sven-Bertil Taube, Peter Haber, Peter Andersson, Marika Lagercrantz, Ingvar Hirdwall, Björn Granath, Ewa Fröling, Michalis Koutsogiannakis, Annika Hallin, Sofia Ledarp, Tomas Köhler, David Dencik",A journalist is aided by a young female hacker in his search for the killer of a woman who has been dead for forty years.,7.8,206095,13000000,104414200,318,91414200
Saw V,2008-12-05,"Horror, Mystery",92,"Canada, USA",English,David Hackl,"Patrick Melton, Marcus Dunstan","Tobin Bell, Costas Mandylor, Scott Patterson, Betsy Russell, Julie Benz, Meagan Good, Mark Rolston, Carlo Rota, Greg Bryk, Laura Gordon, Joris Jarsky, Mike Butters, Al Sapienza, Mike Realba, Jeff Pustil","Following Jigsaw's grisly demise, Mark Hoffman is commended as a hero, but Agent Strahm is suspicious, and delves into Hoffman's past. Meanwhile, another group of people are put through a series of gruesome tests.",5.8,113053,10800000,113864059,288,103064059
Green Lantern,2011-08-31,"Action, Adventure, Sci-Fi",114,USA,English,Martin Campbell,"Greg Berlanti, Michael Green","Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins, Jay O. Sanders, Taika Waititi, Angela Bassett, Mike Doyle, Nick Jandl, Dylan James, Gattlin Griffith, Jon Tenney, Leanne Cochran, Temuera Morrison","Reckless test pilot Hal Jordan is granted an alien ring that bestows him with otherworldly powers that inducts him into an intergalactic police force, the Green Lantern Corps.",5.5,263315,200000000,219851172,650,19851172
Survival of the Dead,2010-05-06,"Comedy, Drama, Horror",90,"USA, Canada",English,George A. Romero,George A. Romero,"Alan Van Sprang, Joshua Peace, Hardee T. Lineham, Dru Viergever, Eric Woolfe, Shawn Roberts, Scott Wentworth, Amy Lalonde, Michelle Morgan, Joshua Close, Mitch Risman, Kenneth Welsh, Julian Richings, Wayne Robson, Kathleen Munroe","On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state.",4.9,20063,4000000,386078,164,-3613922
Takers,2010-12-03,"Action, Crime, Thriller",107,USA,English,John Luessenhop,"Peter Allen, Gabriel Casseus","Chris Brown, Hayden Christensen, Matt Dillon, Michael Ealy, Idris Elba, Steve Harris, T.I., Jay Hernandez, Johnathon Schaech, Paul Walker, Marianne Jean-Baptiste, Gaius Charles, Gideon Emery, Zulay Henao, Glynn Turman",A group of bank robbers find their multi-million dollar plan interrupted by a hard-boiled detective.,6.2,57022,32000000,80205382,159,48205382
Duplicity,2009-04-10,"Comedy, Crime, Romance",125,"USA, Germany",English,Tony Gilroy,Tony Gilroy,"Clive Owen, Julia Roberts, Tom Wilkinson, Paul Giamatti, Dan Daily, Lisa Roberts Gillan, David Shumbris, Rick Worthy, Oleg Stefan, Denis O'Hare, Kathleen Chalfant, Khan Baykal, Tom McCarthy, Wayne Duvall, Fabrizio Brienza","Two ex-government agents turned rival industrial spies have to be at the top of their game when one of their companies prepares to launch a major product. However, they distract each other in more ways than one.",6.1,46925,60000000,78176181,194,18176181
Julie & Julia,2009-10-23,"Biography, Drama, Romance",123,USA,English,Nora Ephron,"Nora Ephron, Julie Powell","Meryl Streep, Amy Adams, Stanley Tucci, Chris Messina, Linda Emond, Helen Carey, Mary Lynn Rajskub, Jane Lynch, Joan Juliet Buck, Crystal McCreary, George Bartenieff, Vanessa Ferlito, Casey Wilson, Jillian Bach, Andrew Garman",Julia Child's story of her start in the cooking profession is intertwined with blogger Julie Powell's 2002 challenge to cook all the recipes in Child's first book.,7,105146,40000000,129540522,323,89540522
Sex Drive,2009-08-14,"Comedy, Romance",109,USA,English,Sean Anders,"Sean Anders, John Morris","Josh Zuckerman, Amanda Crew, Clark Duke, James Marsden, Seth Green, Alice Greczyn, Katrina Bowden, Charlie McDermott, Mark L. Young, Cole Petersen, Dave Sheridan, Michael Cudlitz, Allison Weissman, Andrea Anders, Kim Ostrenko",A high school senior drives cross-country with his best friends to hook up with a babe he met online.,6.5,82666,19000000,18755936,107,-244064
District 9,2009-09-25,"Action, Sci-Fi, Thriller",112,"South Africa, USA, New Zealand, Canada",English,Neill Blomkamp,"Neill Blomkamp, Terri Tatchell","Sharlto Copley, Jason Cope, Nathalie Boltt, Sylvaine Strike, Elizabeth Mkandawie, John Sumner, William Allen Young, Greg Melvill-Smith, Nick Blake, Morena Busa Sesatsa, Themba Nkosi, Mzwandile Nqoba, Barry Strydom, Jed Brophy, Louis Minnaar",Violence ensues after an extraterrestrial race forced to live in slum-like conditions on Earth finds a kindred spirit in a government agent exposed to their biotechnology.,7.9,630278,30000000,210888950,1383,180888950
Death Wish,2018-03-08,"Action, Crime, Drama",107,"USA, Canada",English,Eli Roth,"Joe Carnahan, Brian Garfield","Bruce Willis, Vincent D'Onofrio, Elisabeth Shue, Camila Morrone, Dean Norris, Beau Knapp, Kimberly Elise, Len Cariou, Jack Kesy, Ronnie Gene Blevins, Kirby Bliss Blanton, Andreas Apergis, Ian Matthews, Wendy Crewson, Warona Setshwaelo","Dr. Paul Kersey is an experienced trauma surgeon, a man who has spent his life saving lives. After an attack on his family, Paul embarks on his own mission for justice.",6.4,61564,30000000,49562710,647,19562710
The Ghost Writer,2010-04-09,"Drama, Mystery, Thriller",128,"France, Germany, UK",English,Roman Polanski,"Robert Harris, Roman Polanski","Ewan McGregor, Jon Bernthal, Tim Preece, Jim Belushi, Timothy Hutton, Anna Botting, Yvonne Tomlinson, Milton Welsh, Alister Mazzotti, Tim Faraday, Kim Cattrall, Kate Copeland, Soogi Kang, Lee Hong Thay, Olivia Williams","A ghost writer, hired to complete the memoirs of a former British Prime Minister, uncovers secrets that put his own life in jeopardy.",7.2,154364,45000000,60331447,392,15331447
The Unborn,2009-02-27,"Drama, Horror, Mystery",88,USA,English,David S. Goyer,David S. Goyer,"Odette Annable, Gary Oldman, Cam Gigandet, Meagan Good, Idris Elba, Jane Alexander, Atticus Shaffer, James Remar, Carla Gugino, C.S. Lee, Rhys Coiro, Michael Sassone, Ethan Cutkosky, Craig J. Harris, Rachel Brosnahan",A young woman fights the spirit that is slowly taking possession of her.,4.8,48970,16000000,76514050,242,60514050
Låt den rätte komma in,2009-01-09,"Crime, Drama, Fantasy",114,Sweden,Swedish,Tomas Alfredson,"John Ajvide Lindqvist, John Ajvide Lindqvist","Kåre Hedebrant, Lina Leandersson, Per Ragnar, Henrik Dahl, Karin Bergquist, Peter Carlberg, Ika Nord, Mikael Rahm, Karl-Robert Lindgren, Anders T. Peedu, Pale Olofsson, Cayetano Ruiz, Patrik Rydmark, Johan Sömnes, Mikael Erhardsson","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl.",7.9,202678,4000000,11227336,593,7227336
Post Grad,2010-07-09,"Comedy, Romance",88,USA,English,Vicky Jenson,Kelly Fremon Craig,"Alexis Bledel, Zach Gilford, Michael Keaton, Jane Lynch, Bobby Coleman, Carol Burnett, Rodrigo Santoro, Catherine Reitman, Mary Anne McGarry, J.K. Simmons, Robert Arce, Jeanie Hackett, Oscar Dillon, Vanessa Branch, Shirley Jordan","Ryden Malby graduates from college and is forced to move back into her childhood home with her eccentric family, while she attempts to find a job, the right guy, and just a hint of where her life is headed.",5.3,13567,15000000,6414729,59,-8585271
Frankenweenie,2013-01-17,"Animation, Comedy, Family",87,USA,English,Tim Burton,"Leonard Ripps, Tim Burton","Catherine O'Hara, Martin Short, Martin Landau, Charlie Tahan, Atticus Shaffer, Winona Ryder, Robert Capron, James Hiroyuki Liao, Conchata Ferrell, Tom Kenny","When a boy's beloved dog passes away suddenly, he attempts to bring the animal back to life through a powerful science experiment.",6.9,95469,39000000,81491068,196,42491068
The Ugly Truth,2009-11-27,"Comedy, Romance",96,USA,English,Robert Luketic,"Nicole Eastman, Karen McCullah","Katherine Heigl, Gerard Butler, Bree Turner, Eric Winter, Nick Searcy, Jesse D. Goins, Cheryl Hines, John Michael Higgins, Noah Matthews, Bonnie Somerville, John Sloman, Yvette Nicole Brown, Nate Corddry, Allen Maldonado, Steve Little",An uptight television producer takes control of a morning show segment on modern relationships hosted by a misogynistic man.,6.4,200721,38000000,321682600,196,283682600
The Final Destination,2010-05-21,"Horror, Thriller",82,USA,English,David R. Ellis,"Eric Bress, Jeffrey Reddick","Bobby Campo, Shantel VanSanten, Nick Zano, Haley Webb, Mykelti Williamson, Krista Allen, Andrew Fiscella, Justin Welborn, Stephanie Honoré, Lara Grice, Jackson Walker, Phil Austin, William Aguillard, Brendan Aguillard, Juan Kincaid","After a young man's premonition of a deadly race-car crash helps saves the lives of his peers, Death sets out to collect those who evaded their end.",5.2,95087,40000000,186167139,321,146167139
Micmacs à tire-larigot,2010-12-17,"Action, Comedy, Crime",105,France,French,Jean-Pierre Jeunet,"Jean-Pierre Jeunet, Guillaume Laurant","Dany Boon, André Dussollier, Yolande Moreau, Dominique Pinon, Marie-Julie Baup, Michel Crémadès, Nicolas Marié, Julie Ferrier, Omar Sy, Jean-Pierre Marielle, Urbain Cancelier, Patrick Paroux, Jean-Pierre Becker, Stéphane Butet, Philippe Girard",A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.,7.2,28465,42000000,20550145,69,-21449855
Das weiße Band - Eine deutsche Kindergeschichte,2009-10-30,"Drama, History, Mystery",144,"Germany, Austria, France, Italy, Canada",Latin,Michael Haneke,"Michael Haneke, Michael Haneke","Christian Friedel, Ernst Jacobi, Leonie Benesch, Ulrich Tukur, Ursina Lardi, Fion Mutert, Michael Kranz, Burghart Klaußner, Steffi Kühnert, Maria Dragus, Leonard Proxauf, Levin Henning, Johanna Busse, Thibault Sérié, Josef Bierbichler","Strange events happen in a small village in the north of Germany during the years before World War I, which seem to be ritual punishment. Who is responsible?",7.8,67362,18000000,19319671,213,1319671
Leaves of Grass,2010-09-17,"Comedy, Crime, Drama",105,USA,English,Tim Blake Nelson,Tim Blake Nelson,"Edward Norton, Lucy DeVito, Kent Jude Bernard, Amelia Campbell, Tim Blake Nelson, Randal Reeder, Leo Fabian, Pruitt Taylor Vince, Tina Parker, Susan Sarandon, Ty Burrell, Lee Wilkof, Melanie Lynskey, Josh Pais, Lisa Benavides-Nelson","An Ivy League professor is lured back to his Oklahoma hometown, where his twin brother, a small-time pot grower, has concocted a scheme to take down a local drug lord.",6.4,26293,9000000,1034214,68,-7965786
Miss March,2009-07-03,"Comedy, Romance",90,USA,English,"Zach Cregger, Trevor Moore","Zach Cregger, Trevor Moore","Zach Cregger, Trevor Moore, Raquel Alessi, Molly Stanton, Craig Robinson, Hugh Hefner, Carla Jimenez, Cedric Yarbrough, Geoff Meed, Slade Pearce, Remy Thorne, Eve Mauro, Alexis Raben, Windell Middlebrooks, Lindsay Schoneweis","Eugene believes in no sex before marriage. So DID his girlfriend, Cindi. His BFF loves sex. At Senior Prom, just before sex with Cindi, he falls into a coma. Waking up 4 years later, his Cindi is Miss March in Playboy. Can he get her back?",5,20549,6000000,4591629,70,-1408371
Beastly,2011-05-11,"Drama, Fantasy, Romance",86,USA,English,Daniel Barnz,"Daniel Barnz, Alex Flinn","Alex Pettyfer, Justin Bradley, Mary-Kate Olsen, Dakota Johnson, Erik Knudsen, Vanessa Hudgens, Karl Graboshas, Peter Krause, LisaGay Hamilton, Jonathan Dubsky, David Francis, Neil Patrick Harris, Rhiannon Moller-Trotter, Steve Godin, Gio Perez","A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",5.6,74806,17000000,43202283,144,26202283
Public Enemies,2009-11-06,"Biography, Crime, Drama",140,"USA, Japan",English,Michael Mann,"Ronan Bennett, Michael Mann","Christian Bale, Christian Stolte, Jason Clarke, Johnny Depp, Stephen Graham, David Wenham, John Judd, Stephen Dorff, Michael Vieau, John Kishline, Carey Mulligan, James Russo, Giovanni Ribisi, Wesley Walker, John Scherp","The Feds try to take down notorious American gangsters John Dillinger, Baby Face Nelson and Pretty Boy Floyd during a booming crime wave in the 1930s.",7,277787,100000000,214104620,647,114104620
Wendy and Lucy,2009-03-06,Drama,80,USA,English,Kelly Reichardt,"Jonathan Raymond, Kelly Reichardt","Michelle Williams, Lucy, David Koppell, Max Clement, Sid Shanley, Dave Hubner, Michelle Worthey, Will Oldham, Wally Dalton, Roger D. Faires, Boggs Johnson, Tanya Smith, Michael Brophy, John Robinson, John Breen","Over the summer, a series of unfortunate happening triggers a financial crisis for a young woman and she soon finds her life falling apart.",7.1,16061,200000,1192995,125,992995
Dance Flick,2009-11-20,"Action, Comedy, Music",83,USA,English,Damien Dante Wayans,"Keenen Ivory Wayans, Shawn Wayans","Shoshana Bush, Damon Wayans Jr., Essence Atkins, Affion Crockett, Chris Elliott, Christina Murphy, David Alan Grier, Amy Sedaris, Kim Wayans, Lauren Bowles, Brennan Hillard, George Gore II, Chelsea Makela, Ross Thomas, Shawn Wayans","Street dancer Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.",3.5,11607,25000000,31439140,58,6439140
"I Love You, Man",2009-08-21,"Comedy, Romance",105,USA,English,John Hamburg,"John Hamburg, Larry Levin","Paul Rudd, Rashida Jones, Sarah Burns, Greg Levine, Jaime Pressly, Jon Favreau, Jane Curtin, J.K. Simmons, Andy Samberg, Jean Villepique, Rob Huebel, Kym Whitley, Colleen Crabtree, Caroline Farah, Mather Zickel","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?",7,191738,40000000,91980359,235,51980359
The Karate Kid,2010-08-20,"Action, Drama, Family",140,"USA, China",English,Harald Zwart,"Christopher Murphey, Robert Mark Kamen","Jaden Smith, Jackie Chan, Taraji P. Henson, Wenwen Han, Rongguang Yu, Zhensu Wu, Zhiheng Wang, Zhenwei Wang, Jared Minns, Shijia Lü, Yi Zhao, Bo Zhang, Luke Carberry, Cameron Hillman, Ghye Samuel Brown","Work causes a single mother to move to China with her young son; in his new home, the boy embraces kung fu, taught to him by a master.",6.2,157587,40000000,359126022,473,319126022
Zombieland,2009-10-02,"Adventure, Comedy, Fantasy",88,USA,English,Ruben Fleischer,"Rhett Reese, Paul Wernick","Jesse Eisenberg, Woody Harrelson, Emma Stone, Abigail Breslin, Amber Heard, Bill Murray, Derek Graf","A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",7.6,510818,23600000,102392080,720,78792080
12 Rounds,2009-07-31,"Action, Crime, Thriller",108,USA,English,Renny Harlin,Daniel Kunka,"John Cena, Aidan Gillen, Ashley Scott, Steve Harris, Brian White, Gonzalo Menendez, Taylor Cole, Kyle Clements, Peter Navy Tuiasosopo, Travis Davis, Nick Gomez, Brian Decaro, Rosalind Rubin, Billy Slaughter, Kim Collins","Detective Danny Fisher discovers his girlfriend has been kidnapped by an ex-con tied to Fisher's past, and he'll have to successfully complete 12 challenges in order to secure her safe release.",5.6,26953,22000000,17280326,119,-4719674
The Colony,2013-09-20,"Action, Sci-Fi, Thriller",95,"Canada, USA",English,Jeff Renfroe,"Jeff Renfroe, Svet Rouskov","Kevin Zegers, Laurence Fishburne, Bill Paxton, Charlotte Sullivan, Dru Viergever, Atticus Mitchell, John Tench, Lisa Berry, Lucius Hoyos, Kimberly-Sue Murray, Michael Mando, Helen Taylor, Romano Orzari, John Healy, Kristin Shepherd","Forced underground by the next ice age, a struggling outpost of survivors must fight to preserve humanity against a threat even more savage than nature.",5.3,42548,16000000,321310,181,-15678690
Gentlemen Broncos,2010-06-04,"Adventure, Comedy, Sci-Fi",89,USA,English,Jared Hess,"Jared Hess, Jerusha Hess","Michael Angarano, John Baker, Robin Ballard, Steve Berg, Kristin Brewer, Jemaine Clement, Kristie Conway, Jennifer Coolidge, Rod Decker, Isaac Demke, Halley Feiffer, Johnny Hoops, Héctor Jiménez, Jizelle Jade, Daniel Love",A teenager attends a fantasy writers' convention where he discovers his idea has been stolen by an established novelist.,6.2,10778,10000000,118492,66,-9881508
The Rite,2011-03-11,"Drama, Horror, Mystery",114,"USA, Hungary, Italy",English,Mikael Håfström,"Michael Petroni, Matt Baglio","Anthony Hopkins, Colin O'Donoghue, Alice Braga, Ciarán Hinds, Toby Jones, Rutger Hauer, Marta Gastini, Maria Grazia Cucinotta, Arianna Veronesi, Andrea Calligari, Chris Marquette, Torrey DeVitto, Ben Cheetham, Marija Karan, Rosa Pianeta",American seminary student Michael Kovak (Colin O'Donaghue) travels to Italy to take an exorcism course.,6,89627,37000000,96560591,217,59560591
Ghajini,2008-12-25,"Action, Drama, Mystery",186,India,Hindi,A.R. Murugadoss,"Piyush Mishra, A.R. Murugadoss","Aamir Khan, Asin Thottumkal, Jiah Khan, Pradeep Singh Rawat, Tinnu Anand, Riyaz Khan, Asif Ahmed, John Cardiel, Vibha Chhibber, Neville Dadachanji, Salim Fatehi, Mahendra Gole, Sunil Grover, Simon Hewitt, Kiran Deep Jagi",A short-term memory loss patient sets out on his journey to avenge the death of his beloved girl.,7.3,55359,2400000,38316584,217,35916584
L'immortel,2010-11-05,"Action, Crime, Drama",117,France,French,Richard Berry,"Franz-Olivier Giesbert, Richard Berry","Jean Reno, Kad Merad, Jean-Pierre Darroussin, Marina Foïs, JoeyStarr, Richard Berry, Venantino Venantini, Claude Gensac, Joséphine Berry, Max Baissette de Malglaive, Catherine Samie, Moussa Maaskri, Lucie Phan, Fani Kolarova, Jessica Forde",A retired mobster goes on a revenge spree after being left for dead with 22 bullets in his body by his former childhood friend.,6.7,32114,19080000,21695883,45,2615883
The Hobbit: The Desolation of Smaug,2013-12-12,"Adventure, Fantasy",161,"New Zealand, USA",English,Peter Jackson,"Fran Walsh, Philippa Boyens","Ian McKellen, Martin Freeman, Richard Armitage, Ken Stott, Graham McTavish, William Kircher, James Nesbitt, Stephen Hunter, Dean O'Gorman, Aidan Turner, John Callen, Peter Hambleton, Jed Brophy, Mark Hadlow, Adam Brown","The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.",7.8,590831,225000000,958366855,989,733366855
Nefes: Vatan Sagolsun,2009-10-16,"Action, Drama, Thriller",128,Turkey,Turkish,Levent Semerci,"M. Ilker Altinay, Hakan Evrensel","Mete Horozoglu, Ilker Kizmaz, Baris Bagci, Özgür Eren Koç, Riza Sönmez, Engin Hepileri, Birce Akalay, Ibrahim Akoz, Serkan Altintas, Turgay Atalay, Ertunc Atar, Okan Avci, Baris Aydin, Burak Aykurt, Engin Baykal",Story of 40-man Turkish task force who must defend a relay station.,8,31228,2000000,15291338,59,13291338
Demolition,2016-09-15,"Action, Comedy, Drama",101,USA,English,Jean-Marc Vallée,Bryan Sipe,"Jake Gyllenhaal, Naomi Watts, Chris Cooper, Judah Lewis, C.J. Wilson, Polly Draper, Malachy Cleary, Debra Monk, Heather Lind, Wass Stevens, Blaire Brooks, Ben Cole, Brendan Dooling, James Colby, Alfredo Narciso","A successful investment banker struggles after losing his wife in a tragic car crash. With the help of a customer service rep and her young son, he starts to rebuild, beginning with the demolition of the life he once knew.",7,86390,10000000,4366460,165,-5633540
Whip It,2009-10-02,"Drama, Sport",111,USA,English,Drew Barrymore,"Shauna Cross, Shauna Cross","Sarah Habel, Shannon Eagen, Edward Austin Kelly, Mary Callaghan Lynch, Ellen Page, Jimmy Fallon, Alia Shawkat, Marcia Gay Harden, Barbara Coven, Eulala Scheel, Nina Kircher, Daniel Stern, Mark Boyd, Carlo Alban, Douglas Minckiewicz","In Bodeen, Texas, an indie-rock loving misfit finds a way of dealing with her small-town misery after she discovers a roller derby league in nearby Austin.",6.9,63203,15000000,16691303,130,1691303
Bronson,2011-06-10,"Action, Biography, Crime",92,"UK, Cayman Islands, Denmark, USA",English,Nicolas Winding Refn,"Brock Norman Brock, Nicolas Winding Refn","Tom Hardy, Kelly Adams, Luing Andrews, Katy Barker, Gordon Brown, Amanda Burton, Mark Devenport, Paul Donnelly, Andrew Forbes, Jon House, Matt King, James Lance, Holly Lucas, Juliet Oldfield, Jonny Phillips","A young man who was sentenced to seven years in prison for robbing a post office ends up spending three decades in solitary confinement. During this time, his own personality is supplanted by his alter-ego, Charles Bronson.",7.1,117576,230000,2260712,196,2030712
The Company Men,2011-02-11,Drama,104,USA,English,John Wells,John Wells,"Ben Affleck, Tommy Lee Jones, Chris Cooper, Suzanne Rico, Kent Shocknek, Adrianne Krstansky, Lewis D. Wheeler, Celeste Oliva, Tom Kemp, Nancy Villone, Chris Everett, Maria Bello, Lance Greene, Kathy Harum, Allyn Burrows","The story centers on a year in the life of three men trying to survive a round of corporate downsizing at a major company - and how that affects them, their families, and their communities.",6.7,43078,15000000,8087000,141,-6913000
The House of the Devil,2012-05-04,Horror,95,USA,English,Ti West,Ti West,"Jocelin Donahue, Tom Noonan, Mary Woronov, Greta Gerwig, AJ Bowen, Dee Wallace, Heather Robb, Darryl Nau, Brenda Cooney, Danielle Noe, Mary B. McCann, John Speredakos, Lena Dunham, Graham Reznick, Ti West","In 1983, financially struggling college student Samantha Hughes takes a strange babysitting job that coincides with a full lunar eclipse. She slowly realizes her clients harbor a terrifying secret, putting her life in mortal danger.",6.4,39801,900000,101215,268,-798785
City Island,2010-05-25,"Comedy, Drama",104,USA,English,Raymond De Felitta,Raymond De Felitta,"Andy Garcia, Julianna Margulies, Steven Strait, Emily Mortimer, Ezra Miller, Dominik Garcia, Carrie Baker Reynolds, Hope Glendon-Ross, Alan Arkin, Louis Mustillo, Jee Young Han, Sarah Saltzberg, Curtiss Cook, Sharon Angela, Marianne Ebert","Prison guard Vince tells Molly from acting class, that one inmate is his 24 y.o. love child. Vince takes him home to stay with his family - straight A son with fat girl fetish, college dropout/stripper daughter and cute wife.",7.4,30318,6000000,7878856,109,1878856
An Education,2010-02-05,Drama,100,"UK, USA",English,Lone Scherfig,"Lynn Barber, Nick Hornby","Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour, William Melling, Connor Catchpole, Matthew Beard, Peter Sarsgaard, Amanda Fairbank-Hynes, Ellie Kendrick, Dominic Cooper, Rosamund Pike, Nick Sampson, Kate Duchêne, Bel Parker","A coming-of-age story about a teenage girl in 1960s suburban London, and how her life changes with the arrival of a playboy nearly twice her age.",7.3,126951,7500000,26096852,256,18596852
W.,2008-10-17,"Biography, Comedy, Drama",129,"USA, Australia, Hong Kong, Switzerland, China",English,Oliver Stone,Stanley Weiser,"Josh Brolin, Colin Hanks, Toby Jones, Dennis Boutsikaris, Jeffrey Wright, Thandie Newton, Scott Glenn, Richard Dreyfuss, Bruce McGill, Wes Chatham, Jesse Bradford, Sean Stone, Ben Mayer, James Cromwell, Juan Gabriel Pareja",A chronicle of the life and Presidency of,6.3,45638,25100000,29560587,337,4460587
Me and Orson Welles,2009-12-04,"Comedy, Drama",114,"UK, Isle Of Man, USA",English,Richard Linklater,"Robert Kaplow, Holly Gent","Christian McKay, Zac Efron, Zoe Kazan, Megan Maczko, Simon Lee Phillips, Patrick Kennedy, Shane James Bordas, Alessandro Giuggioli, Harry Macqueen, Rhodri Orders, James Tupper, Thomas Arnold, Aidan McArdle, Simon Nehan, Claire Danes","In 1937, a teenager is cast in the Mercury Theatre production of ""Julius Caesar"", directed by a young",6.7,10614,25000000,2336172,74,-22663828
Away We Go,2010-12-17,"Comedy, Drama, Romance",98,"USA, UK",English,Sam Mendes,"Dave Eggers, Vendela Vida","John Krasinski, Maya Rudolph, Carmen Ejogo, Catherine O'Hara, Jeff Daniels, Allison Janney, Jim Gaffigan, Samantha Pryor, Conor Carroll, Maggie Gyllenhaal, Josh Hamilton, Bailey Harkins, Brendan Spitz, Jaden Spitz, Chris Messina","A couple who is expecting their first child travel around the U.S. in order to find a perfect place to start their family. Along the way, they have misadventures and find fresh connections with an assortment of relatives and old friends who just might help them discover ""home"" on their own terms for the first time.",7,51293,17000000,15779455,129,-1220545
Whatever Works,2009-09-18,"Comedy, Romance",93,"USA, France",English,Woody Allen,Woody Allen,"Larry David, Adam Brooks, Lyle Kanouse, Michael McKean, Clifford Lee Dickson, Yolonda Ross, Carolyn McCormick, Samantha Bee, Evan Rachel Wood, Conleth Hill, Marcia DeBonis, John Gallagher Jr., Willa Cuthrell, Nicole Patrick, Patricia Clarkson","A middle-aged, misanthropic divorcée from New York City surprisingly enters a fulfilling, Pygmalion-type relationship with a much younger, unsophisticated Southern girl.",7.1,70045,15000000,36020534,185,21020534
A Walk in the Woods,2015-09-02,"Adventure, Biography, Comedy",104,USA,English,Ken Kwapis,"Michael Arndt, Bill Holderman","Robert Redford, Nick Nolte, Emma Thompson, Mary Steenburgen, Nick Offerman, Kristen Schaal, R. Keith Harris, Randall Newsome, Hayley Lovitt, Linds Edwards, Susan McPhail, Andrew Vogel, Derek Krantz, Gaia Wise, Tucker Meek","After spending two decades in England, Bill Bryson (Robert Redford) returns to the U.S., where he decides the best way to connect with his homeland is to hike the Appalachian Trail with one of his oldest friends, Stephen Katz (Nick Nolte).",6.3,24099,8000000,37461274,165,29461274
