"original_title","date_published","genre","duration","country","language_1","director","writer","actors","description","avg_vote","votes","budget","worlwide_gross_income","reviews_from_users","profit","profit_norm","votes_norm","reviews_norm","avg_vote_norm","age","success","success_norm"
"The Wolf of Wall Street",2014-01-23,"Biography, Crime, Drama",180,"USA","English","Martin Scorsese","Terence Winter, Jordan Belfort","Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey, Kyle Chandler, Rob Reiner, Jon Bernthal, Jon Favreau, Jean Dujardin, Joanna Lumley, Cristin Milioti, Christine Ebersole, Shea Whigham, Katarina Cas, P.J. Byrne","Tragi-comic, romantic whodunnit set in a run down hotel which plays host to mentally ill people too poor to afford medical insurance.",8.2,1141549,1e+08,392000694,1466,292000694,0.114336941317967,0.496695316710635,0.120851229988286,0.666666666666666,6,1.36359468977607,0.476377210843812
"Megamind",2010-12-17,"Animation, Action, Comedy",95,"USA","English","Tom McGrath","Alan Schoolcraft, Brent Simons","Will Ferrell, Brad Pitt, Tina Fey, Jonah Hill, David Cross, Ben Stiller, Justin Theroux, Jessica Schulte, Tom McGrath, Emily Nordwind, J.K. Simmons, Ella Olivia Stiller, Quinn Dempsey Stiller, Brian Hopkins, Christopher Knights","The supervillain Megamind finally defeats his nemesis, the superhero Metro Man. But without a hero, he loses all purpose and must find new meaning to his life.",7.2,222974,1.3e+08,321885765,260,191885765,0.0751282260523684,0.0764268060462482,0.00312377977352597,0.25,10,0.397446940433981,0.137854808409537
"Slumdog Millionaire",2008-12-05,"Drama, Romance",120,"UK, USA, India","English","Danny Boyle, Loveleen Tandan","Simon Beaufoy, Vikas Swarup","Dev Patel, Saurabh Shukla, Anil Kapoor, Raj Zutshi, Jeneva Talwar, Freida Pinto, Irrfan Khan, Azharuddin Mohammed Ismail, Ayush Mahesh Khedekar, Jira Banjara, Sheikh Wali, Mahesh Manjrekar, Sanchita Choudhary, Himanshu Tyagi, Sharib Hashmi","A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",8,786365,1.5e+07,378410113,1132,363410113,0.142303515382589,0.334190730049971,0.0882467786021086,0.583333333333333,12,1.10281319572671,0.385003631661844
"Fast & Furious",2009-04-17,"Action, Thriller",107,"USA, Japan","English","Justin Lin","Chris Morgan, Gary Scott Thompson","Vin Diesel, Paul Walker, Jordana Brewster, Michelle Rodriguez, John Ortiz, Laz Alonso, Gal Gadot, Jack Conley, Shea Whigham, Liza Lapira, Sung Kang, Tego Calderon, Don Omar, Mirtha Michelle, Greg Cipes","Brian O'Conner, back working for the FBI in Los Angeles, teams up with Dominic Toretto to bring down a heroin importer by infiltrating his operation.",6.6,257872,8.5e+07,360364265,273,275364265,0.107821499373267,0.092393417901748,0.00439281530652089,0,11,0.195016304065401,0.0669264173881269
"Milk",2009-01-23,"Biography, Drama",128,"USA","English","Gus Van Sant","Dustin Lance Black","Sean Penn, Emile Hirsch, Josh Brolin, Diego Luna, James Franco, Alison Pill, Victor Garber, Denis O'Hare, Joseph Cross, Stephen Spinella, Lucas Grabeel, Brandon Boyce, Howard Rosenman, Kelvin Yu, Jeff Koons","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.",7.5,162475,2e+07,54589558,311,34589558,0.0135252038635225,0.0487471667934003,0.00810230378758298,0.375,11,0.43974094312567,0.152673936653123
"A Serious Man",2009-11-06,"Comedy, Drama",106,"USA, UK, France","English","Ethan Coen, Joel Coen","Joel Coen, Ethan Coen","Michael Stuhlbarg, Richard Kind, Fred Melamed, Sari Lennick, Aaron Wolff, Jessica McManus, Peter Breitmayer, Brent Braunschweig, David Kang, Benjamin Portnoe, Jack Swiler, Andrew S. Lentz, Jon Kaminski Jr., Ari Hoptman, Alan Mandell","Larry Gopnik, a Midwestern physics teacher, watches his life unravel over multiple sudden incidents. Though seeking meaning and answers amidst his turmoils, he seems to keep sinking.",7,130794,7e+06,31430334,386,24430334,0.00954647536504412,0.0342524040507191,0.0154236626317845,0.166666666666667,11,0.220966355259192,0.0760188917838873
"Selma",2015-02-12,"Biography, Drama, History",128,"UK, USA, France","English","Ava DuVernay","Paul Webb","David Oyelowo, Carmen Ejogo, Jim France, Trinity Simone, Mikeria Howard, Jordan Rice, Ebony Billups, Nadej K. Bailey, Elijah Oliver, Oprah Winfrey, Clay Chappell, Tom Wilkinson, Giovanni Ribisi, Haviland Stillwell, André Holland","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.",7.5,84249,2e+07,66787908,267,46787908,0.0183025296493713,0.0129570304243153,0.00380710659898477,0.375,5,0.409268374433467,0.141996845939976
"(500) Days of Summer",2009-11-27,"Comedy, Drama, Romance",95,"USA","English","Marc Webb","Scott Neustadter, Michael H. Weber","Joseph Gordon-Levitt, Zooey Deschanel, Geoffrey Arend, Chloë Grace Moretz, Matthew Gray Gubler, Clark Gregg, Patricia Belcher, Rachel Boston, Minka Kelly, Charles Walker, Ian Reed Kesler, Darryl Alan Reed, Valente Rodriguez, Yvette Nicole Brown, Nicole Vicius","An offbeat romantic comedy about a woman who doesn't believe true love exists, and the young man who falls for her.",7.7,464451,7500000,60722734,613,53222734,0.0208226459091319,0.186907909004313,0.0375829754002343,0.458333333333333,11,0.681400019246562,0.237347332698603
"Argo",2012-11-08,"Biography, Drama, Thriller",120,"USA, UK","English","Ben Affleck","Chris Terrio, Tony Mendez","Ben Affleck, Bryan Cranston, Alan Arkin, John Goodman, Victor Garber, Tate Donovan, Clea DuVall, Scoot McNairy, Rory Cochrane, Christopher Denham, Kerry Bishé, Kyle Chandler, Chris Messina, Zeljko Ivanek, Titus Welliver","Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.",7.7,563198,44500000,232325503,799,187825503,0.0735380770281232,0.232086859686158,0.055739945333854,0.458333333333333,8,0.798377711305912,0.278334406750283
"Hachi: A Dog's Tale",2009-12-30,"Drama, Family",93,"UK, USA","English","Lasse Hallström","Stephen P. Lindsey, Kaneto Shindô","Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer, Jason Alexander, Erick Avari, Davenia McFadden, Robbie Sublett, Kevin DeCoste, Rob Degnan, Tora Hallström, Donna Sorbello, Frank S. Aronson, Troy Doherty, Ian Sherman","A college professor bonds with an abandoned dog he takes into his home.",8.1,245863,1.6e+07,46749646,475,30749646,0.012021352062829,0.0868990330724541,0.0241116751269036,0.625,11,0.737030999089277,0.256839520057061
